job_url,title,salary,location,contract_type,job_type
/jobs/data-analyst/52282222?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £45,000 per annum",Birkenhead,Permanent,full-time
/jobs/data-analyst/52250597?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",Chalfont St. Peter,Permanent,full-time
/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",Blackburn,Permanent,full-time
/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Stourport-on-Severn,Permanent,full-time
/jobs/data-analyst/52260557?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Bristol,Permanent,full-time
/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst ,"£30,000 - £40,000 per annum",Birmingham,Permanent,full-time
/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52064970?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £40,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52234392?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £40,000 per annum",Birmingham,Permanent,full-time
/jobs/data-analyst/52204586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£40,000 - £45,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52045278?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst ,"£45,000 - £50,000 per annum",Wolverhampton,Permanent,full-time
/jobs/data-analyst/52160383?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Leamington Spa,Permanent,full-time
/jobs/data-analyst/52101483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £37,000 per annum",Birmingham,Permanent,full-time
/jobs/data-analyst/52183966?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,£250 - £300 per day,Manchester,Contract,full-time
/jobs/data-analyst/52276746?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £35,000 per annum",Nottingham,Permanent,full-time
/jobs/data-analyst/52232586?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£28,000 - £35,000 per annum",Herefordshire,Permanent,full-time
/jobs/data-analyst/52138532?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£40,000 - £50,000 per annum",Liverpool,Permanent,full-time
/jobs/data-analyst/52281250?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £40,000 per annum",Romford,Permanent,full-time
/jobs/data-analyst/52214773?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£30,000 - £40,000 per annum",Romford,Permanent,full-time
/jobs/data-analyst/52192556?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,£100 - £250 per day,Guildford,Contract,full-time
/jobs/data-analyst/52273952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£35,000 - £50,000 per annum, negotiable",London,Permanent,full-time
/jobs/data-analyst/52260011?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data Analyst,"£45,000 - £50,000 per annum",Manchester,Permanent,full-time
/jobs/data-analyst/52200355?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,Data analyst,Competitive salary,Leicester,Permanent,full-time
/jobs/data-analyst/52149191?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £60,000 per annum",Hemel Hempstead,Permanent,full-time
/jobs/data-analyst/52273952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £50,000 per annum, negotiable",London,Permanent,full-time
/jobs/data-analyst/52260011?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£45,000 - £50,000 per annum",Manchester,Permanent,full-time
/jobs/data-analyst/52277579?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,£450 - £480 per day,Glasgow,Contract,full-time
/jobs/data-analyst/52159596?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,£400 - £450 per day,London,Contract,full-time
/jobs/data-analyst/52146674?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£30,000 - £32,000 per annum",Derby,Permanent,full-time
/jobs/data-analyst/52046166?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,Salary negotiable,Coventry,Permanent,full-time
/jobs/data-analyst/52076986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,Salary negotiable,Ireland,Contract,full-time
/jobs/data-analyst/52082691?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,£450 per day,London,Contract,full-time
/jobs/data-analyst/52076617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£35,000 - £40,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52123528?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,Competitive salary,Milton Keynes,Permanent,full-time
/jobs/data-analyst/52181128?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D5,Data Analyst,"£27,000 - £32,000 per annum",Letchworth Garden City,Permanent,full-time
